"","Y01","Y02","Y03","Y04","Y05","Y06","Y07","Y08","Y09","Y10","Y11","Y12","Y13","Y14","Y15"
"otu13787",0,0,0,0,0,0,0,0,0,0,8,0,2,7,2
"otu14027",0,0,0,0,0,0,0,0,0,1,0,0,3,4,1
"otu15931",0,0,0,1,0,0,0,0,0,0,0,5,0,11,0
"otu15829",0,0,0,0,0,0,0,0,0,0,0,4,0,2,0
"otu15964",0,0,0,1,0,0,0,0,0,0,0,1,0,16,0
"otu15888",0,0,0,0,0,0,0,0,0,1,0,1,0,2,0
"otu12617",0,0,0,0,0,0,0,0,5,8,5,4,6,3,1
"otu10821",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu9135",0,0,0,0,0,0,0,0,3,0,1,3,2,2,6
"otu15109",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"otu9212",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"otu14386",0,0,0,0,0,0,0,1,0,1,0,3,2,1,15
"otu4460",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"otu12587",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"otu15044",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"otu10943",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu14301",0,0,0,0,0,0,0,0,0,2,0,2,3,2,7
"otu11436",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"otu14398",0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
"otu11875",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"otu9480",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"otu13782",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"otu7542",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu13701",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"otu12242",0,0,0,0,0,0,0,1,1,2,1,6,1,0,0
"otu15851",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"otu12134",0,0,0,0,0,0,0,0,0,0,1,2,0,2,0
"otu13652",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"otu5006",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"otu10814",0,0,0,0,0,0,0,0,0,3,3,7,7,4,8
"otu15827",0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
"otu10007",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"otu10901",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu14590",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"otu14819",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"otu9238",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"otu10892",0,0,0,0,0,0,0,0,0,0,1,0,0,1,3
"otu8989",0,0,0,0,0,0,0,0,2,5,1,3,31,0,13
"otu14757",0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
"otu14943",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"otu8080",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"otu14004",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu11635",0,0,0,0,0,0,0,0,2,1,6,1,2,1,3
"otu12725",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"otu6979",0,0,0,0,0,0,0,0,2,1,0,1,2,4,0
"otu14401",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"otu12006",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"otu9965",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"otu9529",0,0,0,0,0,0,0,0,0,3,1,1,2,0,4
"otu9146",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"otu14822",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"otu15944",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"otu14627",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"otu10935",0,0,0,0,0,0,1,0,0,0,2,2,7,1,13
"otu12117",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"otu7043",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"otu11851",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"otu11767",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"otu12691",0,0,0,0,0,0,0,0,0,3,1,1,0,0,0
"otu9131",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"otu10648",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"otu12785",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"otu15797",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"otu10313",0,0,0,0,1,0,1,0,1,0,9,4,3,2,6
"otu15890",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"otu11183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"otu11667",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"otu14839",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"otu15043",0,0,0,0,0,0,0,0,0,1,0,2,6,0,0
"otu10068",0,0,0,0,0,0,1,4,2,0,35,46,54,80,67
"otu13846",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu9531",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"otu13799",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"otu13696",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"otu16170",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu15327",0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
"otu10211",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"otu4345",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"otu15928",0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
